tick,utc_time,block,tx_hash,feeder,channel,tier,obrain_burned,poke_word,poked_cells,spiked,synapses,capped,p0,p1,p2,p3,state_root,fired_ids
1,2026-09-16T15:54:40Z,21181651,0x479768c322071371d1e88e269eb4471608fdcd82cf2e5bb487136863d11c1690,0x96a78d1989ee8322263c38b9c7a2a3c00f35494c,0,1,1000,127,0,0,0,false,7965,941,63,0,0xb41f0ef684010085d223006d82daae965986dce3ed050b06ae8971bec6d54cf9,
2,2026-09-16T15:56:58Z,21181922,0xb1aba1468cb8330a038f6f89d688c354734704064dc8812a92dac734e6e3e1b2,0x96a78d1989ee8322263c38b9c7a2a3c00f35494c,26,0,100,9369175102013376103972864,4,4,8,false,7806,922,62,0,0x7e82ab8cd2040f23a4609046d40e775450ca4c745b4a2d168ad2fa0bcf6c19c7,25 85 145 205
3,2026-09-16T17:00:52Z,21189492,0x0c9d673fbb27c721bf7b1eea9bfcee3554dd8048f54c7acced2e619c8a57f8a5,0x96a78d1989ee8322263c38b9c7a2a3c00f35494c,19,0,100,4467570830351532032,4,4,7,false,7650,904,61,0,0xe70ea16635ba09876c8dee125b4a921f80296aa07e6904682ab8dc0fb7139c42,18 78 138 198
4,2026-09-16T17:36:53Z,21193759,0x8fa05531f4e12a1e00ef9c5b607fe757546d0efaec05ac34efcbd952d452b8cc,0x96a78d1989ee8322263c38b9c7a2a3c00f35494c,48,0,100,691323101154449317387607266452099206685392896,4,4,5,false,7497,886,60,0,0x0e8f183a19d8e7c843dc0aaed0972521701977387a70476b83006a1f7dceb432,47 107 167 227
5,2026-09-19T15:13:19Z,21687889,0x0cd97a330c9f30c96c27ad2d68b3dbeda89fda53512fe4624a0a3cd0e33d63f8,0x96a78d1989ee8322263c38b9c7a2a3c00f35494c,1,2,10000,2040,10,10,18,false,0,0,2003,188,0x0be8ed37ca8388dfd97f064f05f0c3c67bf71ba71187d26d605d7aa44a14dbd8,0 1 60 61 120 121 180 181 240 241
6,2026-09-20T03:28:30Z,21774850,0xca8ff75f90a616ac959db3c04791f0f209d1ee69ff630340d4763ae873c7d021,0xba0fba22cde8695858fb0649368eec39ec4cdb7e,21,0,100,285924533142498050048,8,8,11,false,0,0,1963,184,0x96d6a2eb25427ca6aa36e1e336b61db4e42059f07cc04a39346f0ae33f43af4b,19 20 79 80 139 140 199 200
7,2026-09-20T03:28:57Z,21774903,0x755d16b643d5dc5704754dcba65627029d0433a2ed1ccaf5d359cc5479c54fa3,0xba0fba22cde8695858fb0649368eec39ec4cdb7e,21,0,100,285924533142498050048,4,4,6,false,0,0,1924,180,0x669730bd2428a03c28e4fdbae9e9408a1e665c037e88749dcda5ae880c65c7cc,20 80 140 200
8,2026-09-20T03:30:06Z,21775040,0xa11feef715e8c4da7fd15ec8def34502aa4f5794d703c68ccec8080fa2c3ca71,0xba0fba22cde8695858fb0649368eec39ec4cdb7e,21,1,1000,1171368248680556527616,8,8,11,false,0,0,1886,176,0x9df3769b187bb4160ca3e135342dce77a9b7f4d1bca595fa8974eacceaa512b2,19 20 79 80 139 140 199 200
9,2026-09-20T03:30:26Z,21775079,0xa77991b993090df698857f87c698710963e2505968eafcedd1b76422588783ec,0xba0fba22cde8695858fb0649368eec39ec4cdb7e,21,1,1000,1171368248680556527616,8,8,14,false,0,0,1848,172,0x127f6fdf2c2cc62b66c19eb9b1afc3a705f180c3c33d7ce310533de0d4208689,20 21 80 81 140 141 200 201
10,2026-09-20T03:56:25Z,21778152,0x60802806e994df30474d8ac1df58388ef13f74c96c818e5c4ef0358abf66722b,0x81b4bf458a73ea46fadd46ee8236e5f94c4eb8e0,12,0,100,2130303778816,5,5,9,false,0,0,1811,169,0xe637f41e30920dbf9a06b4b0c5a9c3ec57a1a56eea2048546865f544f2cdb32e,11 71 131 191 251
