fly,block,owner,brain,parent_blockhash,seed,alleles,eyes,body,wings,size,genome
1,22821848,0x5e7293bbccad7d606add851b1a8887c02d0102ab,0xfad08c6c78c22964c0efcf232f56c0a202c90929,0x390c6377495a0627745e5f7fd20727ab914a38a44b01945932f497978913e638,0x83ce3611512ba6082f3fc2d55dbd8bcd9563415f0b8b0ef11955aecc8466a271,29,white,yellow,vestigial,large,4ccaead4 00000000 00000000 00000000 9516a77a 9b26c8ee 13087921 00000000 00000000 fba487a1 00000000 00000000 00000000 bacfaea5 00000000 7b599ebd 00000000 8ca63b64 14f8afe2 00000000 00000000 e3b8890c eaba8fb6 00000000 00000000 00000000 9683098f 00000000 00000000 00000000 00000000 210c86fe 00000000 00000000 88be7037 37455437 00000000 00000000 db77c9b9 9177856c 00000000 3e3dfe57 af533003 483cdcc4 00000000 e31e3c48 00000000 c778ec78 c435b897 00000000 1caa4a7c 00000000 fdce78e7 00000000 b06923bc 00000000 02038171 00000000 00000000 fb16ea4b df11e84d 00000000 00000000 00000000
2,22823512,0xb1368c0b6e4dafbb5375c121df88154a3f72b299,0x40c5ea7253258be44681407c0f2e4536062dfebd,0x1b481a7ad9de3f992e1e310708c19cc0a43684613bc640a8a8bd8b0d3b355119,0x2ba5845f6c332ef80b05547b5c081750613d80b530ca180adf8b2ea21aada4b8,33,brown,ebony,curly,small,00000000 00000000 00000000 cfa69843 1d35f62e 8f2d30d0 00000000 635aef64 00000000 00000000 0a060f8e 00000000 00000000 0e6fe2e9 00000000 dc8fba55 e6b82b5f 00000000 3ae30307 f3cd8803 00000000 d74ab1f5 00000000 d0490b62 00000000 be9f4fc7 00000000 167e2c37 a5bbd33b 00000000 00000000 00000000 00000000 c1f37363 00000000 00000000 00000000 66164efd 00000000 6636f8ab 00000000 b86bcc0e 57caee42 64047295 00000000 117665ee 00000000 00000000 2af43de2 2bf6c020 00000000 97614e55 00000000 00000000 00000000 65f9e258 a69cd242 4d196684 f848b8cb d4814cd9 d0d2e3f6 00000000 fd910f75 b5bfc84f
3,22824758,0x734617dec820db2cfb6dc750efa08ef30dc9236f,0x73a9ac7d3b876cac8320227acde32b7a4dd036b2,0x84a1ac22f37d42a8d6d2e508e2b3543266c57976432edcb255fc87779940ad86,0xd6d5a445eaf05536f71cc8de92dae1cc1ba6b7b680d60f99ebc94fe23389db82,34,white,yellow,vestigial,large,00000000 11870ef3 00000000 00000000 00000000 00000000 00000000 c50836f1 8abb61cc 0be04180 00000000 df79bda0 b162aac8 00000000 5404e624 34bbb86a 2e2556f9 00000000 00000000 12675647 00000000 00000000 00000000 8f20199f 740ff2ae e74a022c 00000000 00000000 ae0d7c56 1636e8b0 00000000 00000000 00000000 7ec92cc7 00000000 00000000 00000000 3219ad6f e30a3d3e c9e5ed97 74af4896 bb49d89d 2bea1d30 cafb1d9d 00000000 00000000 716e0098 00000000 7f806c74 00000000 00000000 8aa93ffe 00000000 00000000 1242bfef 7e5b2df5 aaec6ccc f3bd056a 00000000 a1b608be 00000000 bf9c7c6c 9ad63b26 c26395db
4,22824964,0x1a3a0e6f222e823cc8d0f39d87042f88ab763872,0x3a67239ac30e2a7912c0a5315cc0a4e8b3f45905,0x348f579b64a86b8c609caf25e7d34d71c172e2e77538870fbf8f74cafdbace1d,0x7b2aa68c3e2a36e7e051caf7ac0103fc2a314de034045bb6ca9cfab3e8b895ff,39,sepia,tan,curly,small,b0b14b31 c8078d9c fd3f8ff4 6c071beb aa8f938d 947a4088 133b7de3 e8884f02 5d89753e 00000000 e2ec7fd1 00000000 429abdc7 00000000 00000000 d7cfc7e0 00000000 00000000 00000000 3c422bd7 871189cf 3d6200cb 00000000 677b0893 00000000 00000000 00000000 44d35086 00000000 cc7ddf9a 5381e15e da758df3 365ade66 d7348255 00000000 00000000 61258524 4d107263 00000000 a808713b 00000000 4521e56c 00000000 dad3c4d3 dd67d8f1 d1f601e4 b2a224eb 546b1d1a 00000000 00000000 126f7152 4a629f2f 17d99252 00000000 00000000 8c60f198 00000000 ab09e493 00000000 547f70eb 00000000 00000000 5688a1d9 db725eab
5,22825012,0x734617dec820db2cfb6dc750efa08ef30dc9236f,0x9d32d535595f7aedf3c3ef323853d3a4892f4b89,0x786856c895a21e6378bd3cbd39ca6025770dbdbe23384f2855c04366d55423f3,0x09bb18a19d00c00757c50ab0f4000ff3d6e807624786ba896ef7e6e6d883f7df,43,brown,ebony,vestigial,large,dfaa4f1f ffc51768 8583c037 6a7ff565 92616e69 00000000 b81a67bb edf56e54 2f6babf6 ec1c72f0 1b4849be 00000000 d909944c 25add535 08906042 300e80b1 dcaef0e6 6c9fb357 00000000 00000000 00000000 00000000 00000000 c192131b 00000000 00000000 00000000 aaa15cd2 3a12c364 00000000 6bd307b8 dd522f2c 00000000 5c23d993 9b80caaf 00000000 00000000 b1bc9c1f e92fa3c5 f8e8e8ac 00000000 89cc9be7 9e22e9a1 00000000 00000000 f1cd9dcc 304c121a c8d1001c df168602 08b2c69e 577f4d7a 00000000 fc52b91d c017d91c 650a672b c8fd9685 00000000 c632f2cb bd49003f d1e0e73b 00000000 1dff45b9 f9b690cf 00000000
6,22825065,0x1a3a0e6f222e823cc8d0f39d87042f88ab763872,0x9812c040447e60e46ea056899013c7303690309f,0x6b008bbcefaad1de1c36e2b8287bf10416e9b8dc26104ba213978f4ff056f6c0,0xef8c4d7a594878dca6b0c4634e1e93d4ae68c0e53ad93fb2f8d2b7049271602d,29,sepia,yellow,curly,large,d7763cfd 00000000 3ea3fbba 574f9fe7 00000000 7ed3427a 00000000 00000000 00000000 00000000 00000000 00000000 00000000 6c3d42a5 2fd676a6 00000000 c1e3dbe9 00000000 00000000 00000000 907be325 6c407ada e4143188 00000000 00000000 19f6da91 00000000 00000000 978bfa69 00000000 00000000 935385a9 00000000 00000000 f0a677f6 00000000 00000000 00000000 00000000 00000000 c52e3de8 82a21cae 180514bd 00000000 68c6bef6 c77cea17 00000000 3d5e9301 00000000 0733b622 00000000 00000000 245b554c 00000000 e550655f 324efbdb 00000000 00000000 00000000 9b3e1836 c5640200 8e643299 0e7cf928 c6b25053
7,22825141,0xb403f53ee827030a8963ce363477e4ea98b2f679,0xf169ed8d6e94fa64ab1a33b7c9a94d74d927b96b,0x6c31b18f24b6ee839bcfa66a98fef662aa285e91970632f0ac8334329bb7b6db,0xf6539eccf1a723ada13e0d872b6fc69fb2e8a91c4cdde7ff3630c22e73c61c36,29,sepia,ebony,vestigial,small,00000000 8e6e2096 a6b914c0 00000000 5a68a424 69d06f94 00000000 00000000 00000000 00000000 034e58a7 9a2dce3a 2cf5ffb8 00000000 00000000 00000000 00000000 d75ca083 df130539 00000000 00000000 00000000 990bb486 9adb46b7 c6527393 dea167bf 00000000 00000000 a67f25f5 80a7953c 006e8245 00000000 00000000 2df5df91 9c759f95 9f628ae5 00000000 f993fecb 00000000 00000000 00000000 236af2f2 00000000 00000000 00000000 00000000 98dfbd0e 9b1b12ec 00000000 00000000 00000000 00000000 42d2bf00 083db102 00000000 00000000 00000000 b637f358 98fae259 00000000 fe77d401 f218cbf0 00000000 00000000
8,22825164,0x734617dec820db2cfb6dc750efa08ef30dc9236f,0x33ebb0d891e9c32f190ccc7563a9c388c9390470,0x5f60714e6021e48db0c580df4c71eee1f58ad0f17bf5a2f4a89bc9b2b28dc73e,0x525fd59a9c764bda350ea4a2ca484b87afb57a7dcc8ac4b6466861da4375ce90,29,vermilion,yellow,curly,large,00000000 00000000 00000000 00000000 7babe815 00000000 00000000 86d00d82 00000000 41f02cf4 697e3688 a241ccf2 00000000 00000000 1ac05228 4ac6ce9c 1fcbf6a6 00000000 0c934bff 00000000 316c227c fda855b2 1a7391a8 00000000 321c52f9 564e1a78 00000000 00000000 00000000 00000000 246dc5ed 00000000 00000000 ee6148bd 00000000 24dc066f 32cdb3dd 00000000 62dedac6 0abe5746 9f70013d 00000000 00000000 00000000 00000000 4c8ab93b bd2d473f 00000000 00000000 00000000 00000000 df1dae2d 00000000 6ad3f439 241b3290 00000000 00000000 9cd0c27d cb344f64 00000000 00000000 00000000 c9a27eb8 00000000
9,22825216,0x9e366c1405f7951431dbdeb53dcd57db342f55c4,0xd8eabce70fb24ea45d0d735c6c083a2e4fc64c18,0x834c5255528fa765b99dac6252c92df861bfd348983ae85972ee1637aee57864,0xf296afc3bc2a8ac9cab32d56f5f8151f0245dc43c181857205aa5b700ce3df39,32,sepia,ebony,vestigial,large,73fc15df 00000000 00000000 c306db19 c17de1d7 aec88e7f 00000000 00000000 77f27640 4f11bd1d 81abb18e e0ba2671 5f2f17c8 00000000 f018bf04 01c38280 77075546 b7671a29 00000000 00000000 00000000 535e8e4d 91f86e51 4ba6c011 00000000 00000000 52afd48e c4e467b9 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 61a54735 2b702786 7fd200d5 00000000 40dfdc15 4ae58fda 00000000 e40b80b7 aa224102 00000000 c3b0da97 00000000 00000000 ae030eef 00000000 71900be3 00000000 07fa1ceb 00000000 a6383b55 208b6d8e 00000000 aa41cca4 00000000 00000000 00000000 00000000 00000000
10,22825267,0xb403f53ee827030a8963ce363477e4ea98b2f679,0x69de3ddcc71b99b64561c1a7d8efa0c41fcc9ef2,0xfd631ec29bfa2e53201a9c8a1c791188715c789d466358dbcee114d5e3a62d1d,0x8a60b70ae611bd1b6fdecd44c2b710f40df2aa09a3ae0ef8051805fcfb740ba9,30,brown,tan,vestigial,large,29b9c10b 00000000 00000000 2dfdb915 00000000 b77f267a 00000000 fd475f20 559cadf9 034d29f0 00000000 71ccae32 00000000 00000000 00000000 00000000 00000000 00000000 f9b51849 00000000 fa1a30b6 480f468c 9c2a88f7 00000000 8b21df14 14e6fd61 00000000 8b5c53d8 2e7cef71 355d8d6c 84bbdd61 ce146aca 00000000 00000000 5032b8b2 306cc0fe 0f02bd32 510a2c9d 02ac9649 0a844fc0 96e0c54a 00000000 04e78420 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 b24eefb8 ece3f449 00000000 00000000 00000000 476c2ec9 00000000 4863553e 00000000 00000000 00000000 00000000 00000000
